ServicingLenderName,ServicingLenderLocationID,LoanNumber,CurrentApprovalAmount,Estimated_LenderProfit,AverageLoanAmount
Service FCU,100684,25,10969233.77,394629.43,438769.35079999996
Service First FCU,105081,1,176900.0,8845.0,176900.0
ServisFirst Bank,434138,2215,1225848143.0,37856481.21,553430.3128668171
Sesloc FCU,92882,13,3112900.0,135193.0,239453.84615384616
Settlers Bank,452244,100,68625789.46,1905382.8699999999,686257.8945999999
"Shamrock Bank, National Association",58866,11,3180300.0,122855.0,289118.1818181818
SharePoint CU,99817,10,2584240.96,110619.57,258424.096
Sharon & Crescent United CU,98548,14,4088158.0,165488.76,292011.28571428574
Shelby County State Bank,22559,3,780924.0,39046.2,260308.0
"Shelby Savings Bank, SSB",90280,28,6335212.44,291718.62,226257.58714285717
Shell Lake State Bank,76778,5,1289951.29,56014.26,257990.258
Sherburne State Bank,38878,41,12303215.33,484605.65,300078.4226829268
Sherwood Community Bank,40312,1,413692.25,12410.77,413692.25
Shinhan Bank America,112966,164,53815152.0,2130171.1,328141.1707317073
"Shore United Bank, National Association",30493,410,173059105.36,6040931.06,422095.3789268293
Sibley State Bank,25463,8,6068492.46,203800.95,758561.5575
Sicily Island State Bank,29305,6,3012635.57,108246.45999999999,502105.9283333333
Sidney FCU,101863,5,1055991.55,52799.59,211198.31
Sierra Central CU,92892,2,522578.04000000004,26128.9,261289.02000000002
Sierra Pacific FCU,100650,3,907900.0,36905.0,302633.3333333333
Signal Financial FCU,94099,9,3236640.91,128767.19,359626.7677777778
Signature Bank,224478,3858,2759262153.46,75725207.08,715205.327490928
Signature Bank,442348,534,336344100.37,9897023.11,629857.8658614232
Signature Bank of Arkansas,4455,38,18373797.7,520788.19,483520.9921052631
"Signature Bank, National Association",256729,452,264188798.03,7931438.2,584488.4912168141
Silex Banking Company,41434,6,3209124.1799999997,96273.73,534854.0299999999
Silver Lake Bank,26434,80,40785800.0,1233300.0,509822.5
Simmons Bank,4679,2639,1416293777.09,43368411.74,536678.2027624099
Simply Bank,68878,36,15031490.86,519566.96,417541.41277777776
Singing River FCU,100049,8,3349861.64,127720.45,418732.705
Siouxland Bank,42650,7,4599066.7,103977.55,657009.5285714286
Sixth Avenue Baptist FCU,91091,1,169781.8,8489.09,169781.8
Skowhegan Savings Bank,29894,40,10960129.66,477037.17,274003.2415
Sky FCU,100418,3,620977.87,31048.89,206992.62333333332
SkyOne FCU,91905,34,8732354.72,379518.41000000003,256833.9623529412
Skyline National Bank,73473,149,64754799.67,2199659.0,434595.97093959735
Sloan State Bank,25482,2,648254.76,32412.74,324127.38
Small Business Bank,25901,22,4482923.5,224146.18,203769.25
SmartBank,445288,643,304861972.32,10233093.18,474124.37374805595
"SoFi Bank, National Association",111209,43,15030756.0,580159.86,349552.4651162791
Solera National Bank,450238,335,137324753.92,4841535.85,409924.63856716413
Solon State Bank,25484,4,767080.0,38354.0,191770.0
Solutions Bank,21382,9,2423501.42,101725.95999999999,269277.93555555557
Solutions North Bank,26636,7,3258400.0,125356.0,465485.71428571426
Solvay Bank,50256,174,80292778.0,2573231.73,461452.7471264368
Somerset Trust Company,65337,325,177180957.33,5492140.88,545172.1764
Somerville Bank,58336,10,3086516.95,127149.21,308651.695
Sooper CU,93451,3,1082652.53,37083.85,360884.1766666667
Sound CU,107747,63,24740410.78,939821.4,392704.933015873
Sound Community Bank,107432,166,72130229.26,2373240.34,434519.45337349403
South Atlantic Bank,452235,254,96180775.0,3552846.75,378664.468503937
South Carolina FCU,104859,18,4051900.0,202595.0,225105.55555555556
"South Central Bank, Inc.",27775,211,92983283.98,3102666.61,440679.07099526067
South Central State Bank,42105,1,547200.0,16416.0,547200.0
South Coast Bank & Trust,19627,18,5521190.13,227796.66,306732.785
South Georgia Bank,90704,5,1028206.42,51410.32,205641.284
South Georgia Banking Company,19619,22,6558078.03,268069.39,298094.45590909093
South Lafourche Bank & Trust Company,28361,9,5571186.55,130855.73,619020.7277777777
South Louisiana Bank,28293,176,87994600.0,2974850.0,499969.3181818182
South Metro FCU,118811,12,14985620.62,374344.88,1248801.7183333333
South Ottumwa Savings Bank,25361,29,9965055.0,386567.31,343622.5862068966
South Shore Bank,33475,303,147359478.0,4833893.48,486334.9108910891
South Story Bank & Trust,25481,26,9797495.72,388676.84,376826.75846153847
SouthEast Bank,262367,58,24298786.44,799895.36,418944.5937931035
SouthPoint Bank,437056,179,76435892.13,2791522.23,427016.15715083794
SouthPoint Financial CU,99853,6,3166300.18,115435.62,527716.6966666667
"SouthStar Bank, S.S.B.",71468,95,36869101.05,1415892.56,388095.80052631575
"SouthState Bank, National Association",117723,5547,2494044444.13,83305518.32,449620.41538309
"SouthTrust Bank, National Association",70026,128,53454966.56,1964263.43,417616.92625
SouthWest Bank,72181,286,157369538.99,4911382.57,550243.1433216784
Southbridge CU,98560,4,1118144.0,47163.96,279536.0
Southeast Community Capital Corporation dba Pathway Lending,529882,1,2000000.0,60000.0,2000000.0
Southeast First National Bank,19755,8,3198266.2600000002,112347.89,399783.28250000003
Southeastern Bank,19362,61,20108766.0,798009.2,329651.9016393443
Southeastern CU,95066,2,421030.0,21051.5,210515.0
Southern Bancorp Bank,4089,207,105180074.99,3175717.41,508116.3042995169
Southern Bank,19672,1,172000.0,8600.0,172000.0
Southern Bank,79133,438,200479329.73,6907853.5,457715.36468036525
Southern Bank and Trust Company,50882,725,280148138.96,10007920.01,386411.2261517241
Southern Bank of Tennessee,123248,9,2700549.67,115611.39,300061.07444444444
Southern Heritage Bank,28326,24,10461085.84,341085.85000000003,435878.57666666666
Southern Hills Community Bank,82970,3,635757.12,31787.86,211919.04
Southern Illinois Bank,124020,2,372812.0,18640.6,186406.0
Southern Independent Bank,444795,28,13199697.98,458592.64999999997,471417.78500000003
Southern Michigan Bank & Trust,33720,154,77930227.0,2429162.81,506040.43506493507
Southern States Bank,449992,182,80698047.08,2775327.23,443395.86307692307
SouthernTrust Bank,434565,78,33122002.69,1232671.49,424641.06012820516
Southside Bank,72026,557,322363040.9,9712079.15,578748.726929982
Southwest Bank of Weatherford,58876,6,2372476.0,86418.06,395412.6666666667
Southwest Capital Bank,45813,66,29061618.88,978217.27,440327.5587878788
"Southwest Georgia Farm Credit, ACA",227410,3,2344704.32,79430.22,781568.1066666666
Southwest Heritage CU,106304,17,6154454.0,229711.7,362026.70588235295
Southwest Missouri Bank,40210,65,24368488.49,872222.24,374899.8229230769
Southwest National Bank,26707,84,41015967.23,1320456.06,488285.3241666666
Southwestern National Bank,122197,126,49769522.75,1787089.18,394996.2123015873
Southwind Bank,26200,15,6729902.27,232396.45,448660.1513333333
Space Coast CU,94589,26,6449444.0,298499.22000000003,248055.53846153847
Spectra Bank,110473,17,9961155.56,277839.48,585950.3270588235
Spencer County Bank,24176,2,742974.0,28999.42,371487.0
"Spencer Savings Bank, SLA",85804,94,38066168.39,1343770.61,404959.23819148936
SpiritBank,58789,93,60624200.61,1731744.87,651873.1248387097
Spokane Teachers CU,107699,47,12846087.0,530203.35,273321.0
Spratt Savings Bank,88581,3,579090.0,28954.5,193030.0
Spring Bank,443431,218,130334652.91,3963207.21,597865.3803211009
Spring Bank,458219,82,36997754.0,1195418.38,451192.1219512195
Spring Hill State Bank,71919,19,4569435.46,209114.36000000002,240496.60315789474
Spring Valley Bank,122062,1,361727.0,10851.81,361727.0
Spring Valley City Bank,22656,14,4228682.96,170983.43,302048.78285714285
Springfield State Bank,27936,15,4936296.75,196355.88,329086.45
Springs Valley Bank & Trust Company,23165,40,13693834.62,535496.85,342345.86549999996
"Square Capital, LLC",529050,407,108423306.53,4705446.63,266396.33054054057
St. Anne's Credit Union,98520,10,3686170.37,128700.28,368617.037
St. Ansgar State Bank,25434,7,4696398.32,150299.16,670914.0457142858
"St. Charles Bank & Trust Company, National Association",111865,333,185754366.32,5721673.7,557820.9198798798
St. Clair County State Bank,41192,3,653502.0,32675.1,217834.0
St. Johns Bank and Trust Company,41370,37,14681516.42,496419.1,396797.7410810811
St. Joseph's Parish Buffalo FCU,101820,1,303000.0,15150.0,303000.0
St. Lawrence FCU,101821,1,200655.0,10032.75,200655.0
St. Louis Bank,434581,235,129034440.0,4101784.0,549082.7234042553
St. Martin National Bank,38832,1,202995.0,10149.75,202995.0
St. Mary's Bank,108686,85,31586000.0,1210248.0,371600.0
St. Mary's CU,98539,51,15252615.0,617025.75,299070.8823529412
St. Michael's Fall River FCU,98541,6,2565435.0,80619.55,427572.5
Stanford FCU,92961,2,468781.7,23439.09,234390.85
Star Bank,36651,25,8409431.87,339748.91,336377.27479999996
Star Tech FCU,93286,1,226466.05,11323.3,226466.05
Star USA FCU,104049,14,4388961.95,171381.73,313497.28214285715
Starion Bank,118060,166,92653156.74,2959250.86,558151.546626506
State Bank,22803,8,2638737.73,96172.81,329842.21625
State Bank,22872,78,31774061.38,1203569.77,407359.7612820513
State Bank,23892,125,42508925.89,1664443.78,340071.40712
State Bank,24983,11,2802514.84,125797.9,254774.07636363636
State Bank,124041,54,28386525.0,852980.85,525676.3888888889
State Bank & Trust,3379,8,4376633.45,111106.37,547079.18125
State Bank & Trust Co.,25302,14,11370196.68,266928.84,812156.9057142857
State Bank & Trust Company,28246,8,3428511.93,119547.38,428563.99125
State Bank & Trust of Kenmare,52860,3,952600.0,31850.0,317533.3333333333
State Bank Financial,122709,95,40918069.0,1435012.28,430716.51578947366
State Bank Northwest,74278,112,48760383.65,1591984.72,435360.56830357143
State Bank of Bottineau,52685,2,706675.0,27372.25,353337.5
State Bank of Chandler,36722,4,2028050.77,64102.86,507012.6925
State Bank of Cherry,20477,4,969743.58,48487.170000000006,242435.895
State Bank of Chilton,75717,37,12630174.290000001,495268.48,341356.06189189194
State Bank of Cochran,19241,3,928730.0,36836.5,309576.6666666667
State Bank of Cold Spring,36745,11,2363136.0,118156.8,214830.54545454544
State Bank of Danvers,36765,4,804737.65,40236.89,201184.4125
State Bank of Davis,21176,26,9681838.0,356413.48,372378.3846153846
State Bank of De Kalb,69698,52,26194381.759999998,833567.57,503738.11076923076
State Bank of Downs,25800,9,4020300.0,138673.9,446700.0
State Bank of Eagle Butte,66499,1,194840.0,9742.0,194840.0
State Bank of Easton,38015,4,1891285.37,64625.66,472821.3425
State Bank of Graymont,21466,12,10501051.0,227069.55,875087.5833333334
State Bank of Herscher,21517,20,9244362.79,350615.75,462218.13949999993
State Bank of India (California),5759,15,15553116.61,403393.98,1036874.4406666666
State Bank of Industry,21554,1,172454.78,8622.74,172454.78
State Bank of Lakota,52864,1,632000.0,18960.0,632000.0
State Bank of Lismore,38323,4,710341.0,35517.05,177585.25
State Bank of Missouri,40085,6,1376388.62,60897.829999999994,229398.10333333336
State Bank of New Richland,38677,3,953301.0,36831.55,317767.0
State Bank of Newburg,76575,11,3769365.0,148365.05,342669.54545454547
State Bank of Reeseville,76716,4,1207965.48,48722.21000000001,301991.37
State Bank of Schaller,25437,1,183792.0,9189.6,183792.0
State Bank of Southern Utah,72214,223,82652800.0,3038066.0,370640.3587443946
State Bank of Southwest Missouri,41458,27,20597649.74,474822.49,762875.9162962963
State Bank of Table Rock,42670,1,339126.37,16956.32,339126.37
State Bank of Texas,111946,60,17959884.24,740819.91,299331.404
State Bank of Toulon,22717,12,3338865.0,132585.73,278238.75
"State Bank of the Lakes, National Association",20227,143,49261400.0,1937193.82,344485.31468531466
State Central Bank,25139,2,1523096.52,45692.9,761548.26
State Empl CU,101180,18,10568000.5,324343.8,587111.1388888889
State Empl CU of Maryland Inc,98171,17,4834995.38,205711.47,284411.49294117646
State Nebraska Bank & Trust,42707,22,14919585.2,382041.63,678162.9636363636
State Savings Bank,24589,22,7078199.0,284994.61,321736.3181818182
State Savings Bank,24597,4,951431.75,47571.59,237857.9375
State Savings Bank,25401,1,311005.0,15550.25,311005.0
State Savings Bank,34939,51,16296700.0,670179.0,319543.137254902
State Street Bank and Trust Company,22398,13,2768082.0,138404.1,212929.38461538462
Stearns Bank National Association,36581,78,64672735.11,1510076.74,829137.6296153846
Stellar Bank,451098,2428,1138375399.98,37824886.27,468853.13014003297
Stepping Stones Community FCU,486985,4,1990462.0,71922.3,497615.5
Sterling Bank,75627,42,15492569.88,561794.76,368870.71142857143
Sterling Bank,467149,48,28712450.0,892181.5,598176.0416666666
"Sterling Federal Bank, F.S.B.",77441,31,11003984.0,427006.4,354967.22580645164
Sterling State Bank,36611,136,59442942.97,2051277.08,437080.46301470586
Stillman BancCorp N.A.,22671,44,16292518.92,602772.2,370284.52090909093
Stock Growers Bank,52781,9,3407387.48,129805.48,378598.6088888889
Stock Yards Bank & Trust Company,27569,1494,877542991.54,25719560.95,587378.1737215528
Stockman Bank of Montana,41971,577,275005521.73,8741922.55,476612.68930675916
Stockmens Bank,42059,33,16255430.13,473185.19,492588.79181818187
Stone Bank,4086,91,50145986.45,1432722.15,551054.7961538462
StonehamBank,89298,48,21353929.0,754369.33,444873.5208333333
"Stride Bank, National Association",58932,178,82947038.73,2728818.03,465994.59960674157
Stryv Bank,26661,29,10970156.94,418955.44,378281.2737931034
Studio Bank,520930,43,14790271.72,558320.63,343959.8074418605
Sturdy Savings Bank,80115,143,50011112.71,1962474.43,349728.0609090909
Sturgis Bank & Trust Company,79717,75,26928816.97,1058536.87,359050.8929333333
Success Bank,24607,8,4594515.4,122267.77,574314.425
Sugar River Bank,43149,19,5101127.72,222180.85,268480.40631578944
Sullivan Bank,41498,46,16142261.22,635364.32,350918.72217391303
Suma Yonkers FCU,101907,1,613267.5,18398.02,613267.5
Summit Bank,5922,86,44343754.14,1505028.26,515625.0481395349
Summit Bank,368537,302,160190700.0,5064487.0,530432.7814569536
Summit CU,108074,308,128173395.28,4664636.75,416147.38727272727
"Summit Community Bank, Inc.",119785,346,159907951.58,5446621.81,462161.70976878615
Summit National Bank,77192,1,616682.0,18500.46,616682.0
Summit State Bank,90436,234,105885592.82,3613871.64,452502.53341880336
Sumner Bank & Trust,434020,23,5741558.99,263851.01,249632.9995652174
Sun Community FCU,91993,5,2760894.37,101015.68,552178.8740000001
Sun East FCU,104601,11,3216741.3,127925.77,292431.0272727273
Sun FCU,103335,11,4717341.91,167233.52,428849.2645454546
SunSouth Bank,1914,14,2844681.19,133607.53,203191.51357142857
Suncoast CU,94371,44,11911224.620000001,501295.21,270709.65045454545
Sundance State Bank,77246,11,4068765.0,156782.25,369887.7272727273
Sundown State Bank,71947,40,21820478.24,651386.5,545511.956
"Sunflower Bank, National Association",26378,863,480001254.77,14630409.2,556200.758713789
Sunmark CU,101839,11,3260782.42,133780.25,296434.76545454544
Sunmark Community Bank,19476,49,23099644.19,715819.23,471421.31000000006
Sunnyside Federal Savings and Loan Association of Irvington,80138,15,5260996.86,196861.91,350733.124
Sunrise Bank,434873,52,19605691.169999998,737738.43,377032.52249999996
"Sunrise Banks, National Association",38858,499,255997700.0,7940749.0,513021.44288577157
Sunset Science Park FCU,103679,2,467456.0,23372.8,233728.0
Sunshine State Economic Development Corporation,188204,22,4256023.17,212801.16,193455.59863636363
Sunstate Bank,123537,45,18263521.34,602337.39,405856.0297777778
Sunwest Bank,14926,1234,773939024.0,22895992.18,627179.1118314425
"Superior CU, Inc.",103319,26,10268848.13,332959.97000000003,394955.6973076923
Superior Choice CU,108425,2,338635.70999999996,16931.79,169317.85499999998
Superior National Bank,35292,132,49689259.09,1857839.77,376433.7809848485
Surety Bank,116826,18,6417548.36,255159.37,356530.46444444446
Susquehanna Community Bank,65423,57,24461203.9,846717.97,429143.9280701754
Susser Bank,105536,390,230789231.0,6429690.35,591767.258974359
Sutton Bank,53273,105,58522935.02,1734002.35,557361.285904762
Swedish-American State Bank,25784,5,1161200.0,58060.0,232240.0
Sweet Water State Bank,3296,1,355578.6,10667.36,355578.6
Synergy Bank,123463,146,75398230.0,2443922.1,516426.23287671234
Synovus Bank,19248,5488,2928356658.8,90273497.26,533592.6856413995
"T Bank, National Association",426479,301,85985415.52,3556961.55,285665.8322923588
T M H FCU,94724,2,411706.0,20585.3,205853.0
TBA CU,99467,7,1539380.72,67262.36,219911.5314285714
"TBK Bank, SSB",71488,416,232760401.54,7014518.5200000005,559520.1960096153
TC Federal Bank,81618,56,20180752.27,738070.09,360370.57625
"TD Bank, National Association",29805,15397,8249007736.77,248424495.05,535754.2207423524
"TIAA Bank, A Division of TIAA FSB",123344,16,8975572.42,306051.08,560973.27625
TLC Community CU,99476,12,2518711.77,125935.59,209892.6475
TNBANK,119482,35,16834691.72,565006.52,480991.192
TPF Loan Corporation,438048,3,1085322.0,37998.16,361774.0
TPNB Bank,41206,3,699105.52,34955.28,233035.17333333334
"TRF Enterprise Fund, Inc.",492352,11,2022267.36,101113.37,183842.48727272727
TS Bank,25541,22,10743084.5,323887.03,488322.0227272727
TSB Bank,76838,16,6055385.07,214205.89,378461.566875
"TXN Bank, National Association",70137,23,10552863.0,385891.39,458820.1304347826
Table Rock Community Bank,443065,2,391966.5,19598.33,195983.25
Tandem Bank,526415,105,30598490.7,1272760.95,291414.1971428571
Taunton FCU,98588,7,1717000.04,85850.01999999999,245285.72
Taylor County Bank,26856,2,302863.66000000003,15143.18,151431.83000000002
Teachers CU,96759,57,17274482.52,708817.54,303061.09684210527
Team One CU,99330,16,6564979.75,212366.65,410311.234375
Tech CU,96781,27,10001210.91,371873.44,370415.2188888889
Technology CU,91910,166,122002717.25,3706141.64,734956.1280120482
Tejas Bank,70455,15,7054340.44,238194.33000000002,470289.3626666667
Telhio CU Inc,102811,98,34725014.58,1314458.87,354336.8834693877
Templeton Savings Bank,25529,3,524866.47,26243.32,174955.49
Tennessee State Bank,67003,43,15287234.85,585807.97,355517.08953488374
Tennessee Valley FCU,105165,5,1129632.5,56481.62,225926.5
Tensas State Bank,28717,1,728300.0,21849.0,728300.0
"Terrabank, National Association",17469,34,13371810.61,505666.9,393288.5473529412
Territorial Bank of American Samoa,529631,15,4607671.35,187972.31,307178.08999999997
Territorial Savings Bank,87997,3,1039220.0,38232.96,346406.6666666667
Teutopolis State Bank,22700,18,6351359.220000001,234264.81,352853.29000000004
"Texana Bank, National Association",70797,16,6224153.25,234131.66,389009.578125
"Texas Advantage Community Bank, National Association",444964,62,26559700.0,929803.0,428382.2580645161
Texas Bank,69112,82,32557799.49,1159559.84,397046.3352439024
Texas Bank,71957,69,31109597.05,1017429.45,450863.72536231886
Texas Bank and Trust Company,70840,463,238948068.48,7728009.6,516086.54099352047
Texas Capital Bank,121598,1004,855651622.7,21328337.65,852242.6520916335
Texas Champion Bank,71853,117,89451149.4,2206757.44,764539.7384615386
Texas Community Bank,71913,108,36153423.82,1397887.62,334753.92425925925
Texas Dow Empl CU,106569,42,20331530.0,673440.66,484084.04761904763
Texas Financial Bank,69802,7,2326948.4699999997,97263.73,332421.20999999996
Texas First Bank,71999,373,169716477.44,5866974.09,455003.9609651475
"Texas Gulf Bank, National Association",69962,123,67563315.9,2126955.32,549295.2512195122
Texas Heritage Bank,69262,56,25079787.64,808205.81,447853.35071428574
Texas Heritage National Bank,69267,42,24075437.44,775781.27,573224.700952381
Texas National Bank,71432,282,113065709.53,4090777.78,400942.2323758865
Texas National Bank,119837,8,4175340.27,131514.51,521917.53375
Texas National Bank of Jacksonville,70488,56,19765861.32,767929.3,352961.8092857143
Texas Partners Bank,447956,502,285503650.44,8569599.0,568732.3713944223
Texas Regional Bank,111233,323,126786948.7,4621542.9,392529.25294117647
"Texas Republic Bank, National Association",71638,59,30296712.0,872907.63,513503.593220339
Texas Security Bank,455610,536,322169498.11,9717045.23,601062.4964738806
Texas State Bank,71712,46,16826792.5,656253.62,365799.8369565217
Texas Trust CU,106203,18,3653248.33,182662.43,202958.24055555556
Texell CU,106550,1,190812.0,9540.6,190812.0
Texico State Bank,22702,4,1146946.0,48501.36,286736.5
Texoma Community CU,106496,2,555508.12,19665.239999999998,277754.06
Thayer County Bank,42243,7,2768322.12,107755.93,395474.5885714286
The Adirondack Trust Company,50168,271,111613216.14,3865596.05,411856.88612546126
The American National Bank of Mount Pleasant,71475,16,4928807.95,211384.65,308050.496875
The American National Bank of Texas,71977,734,321228092.0,10854496.58,437640.4523160763
The Andover Bank,53238,25,8084717.37,325610.99,323388.6948
The Antwerp Exchange Bank Company,53244,4,692389.98,34619.5,173097.495
The Apple Creek Banking Company,53245,16,3981503.4699999997,171186.98,248843.96687499998
The Atlanta National Bank,20271,1,274132.3,13706.61,274132.3
The Baldwin State Bank,25697,7,1605026.36,80251.31999999999,229289.48
The Bancorp Bank National Association,188901,450,218243600.0,7097194.0,484985.77777777775
The Bank,26221,14,8969587.22,289541.62,640684.8014285715
The Bank,121318,17,4338886.93,193094.75,255228.64294117645
"The Bank & Trust, SSB",69705,35,10300350.11,419208.95,294295.7174285714
The Bank National Association,59056,22,6510148.1,271272.41,295915.8227272727
The Bank of Advance,40082,13,2962947.0,124525.5,227919.0
The Bank of Baker,41774,20,6130069.78,242928.49,306503.489
The Bank of Beaver City,58764,14,8752903.0,286950.09,625207.3571428572
The Bank of Bennington,87045,69,22626411.33,859276.62,327919.00478260865
The Bank of Brodhead,75670,5,1397252.7,69862.64,279450.54
The Bank of Canton,32735,105,54195525.19,1709648.14,516147.85895238095
The Bank of Clarendon,66219,26,8210924.3,348535.49,315804.78076923074
The Bank of Clovis,203012,22,7860792.97,295907.24,357308.77136363636
The Bank of Commerce,20144,189,73749020.0,2504806.6,390206.45502645505
The Bank of Commerce,29364,1,156120.57,7806.03,156120.57
The Bank of Edison,19431,3,1702620.5,57571.4,567540.1666666666
The Bank of Elk River,38030,122,63606345.0,2051874.18,521363.48360655736
The Bank of Fayette County,68708,6,2314186.95,87537.27,385697.825
The Bank of Glen Burnie,30660,38,15909701.0,531687.63,418676.34210526315
The Bank of Grain Valley,40525,15,5878297.0,213798.43,391886.4666666667
The Bank of Greene County,47130,231,96204660.67,3342759.64,416470.3925108225
The Bank of Herrin,21513,30,11255185.16,429460.7,375172.83866666665
The Bank of Houston,40644,48,19128037.98,711289.83,398500.79125
The Bank of Jackson,121542,32,13647893.46,433507.35,426496.670625
The Bank of Kaukauna,76036,33,19759921.48,569893.14,598785.4993939394
The Bank of Kremlin,59026,49,20732550.0,768437.5,423113.2653061224
"The Bank of LaFayette, Georgia",19512,9,3178160.3,119568.02,353128.9222222222
The Bank of Magnolia Company,57711,12,3970899.0,147452.37,330908.25
The Bank of Marion,73524,46,15752785.65,613635.23,342451.86195652175
The Bank of Milan,118852,3,807051.0,31992.61,269017.0
The Bank of Missouri,41214,265,120473325.69,4065914.92,454616.32335849054
The Bank of Monroe,75423,3,1100924.17,41349.740000000005,366974.7233333333
The Bank of New Glarus,76576,24,11573861.57,413345.49,482244.23208333337
The Bank of Old Monroe,41186,66,29756764.78,1003240.68,450860.07242424245
The Bank of Princeton,447226,408,240274108.35,7282012.54,588907.1283088236
The Bank of Protection,26361,7,2970710.29,101544.14,424387.1842857143
The Bank of Romney,75390,8,3878731.14,153936.56,484841.3925
The Bank of South Carolina,110651,91,36620543.0,1272352.87,402423.5494505495
The Bank of Southside Virginia,73141,26,9819716.0,370293.96,377681.3846153846
The Bank of Tampa,17715,826,416548054.59,13155934.95,504295.46560532687
The Bank of Tescott,26480,18,6668928.87,255541.98,370496.04833333334
The Bank of Tioga,52954,13,6834753.5600000005,230098.56,525750.2738461539
The Bank of Vernon,3334,43,18866937.84,623306.74,438765.99627906975
The Bank of the West,59328,3,762686.0700000001,30108.3,254228.69000000003
The Bath State Bank,22928,1,345300.0,17265.0,345300.0
The Bennington State Bank,25713,99,61572160.11,1859488.76,621941.0112121212
The Benton State Bank,75637,3,818057.0,40902.85,272685.6666666667
The Bippus State Bank,22939,46,17168873.7,646336.01,373236.38478260866
The Bradford National Bank of Greenville,21471,26,10236253.72,367628.94,393702.06615384616
The Brady National Bank,69079,7,2459432.0,94280.95999999999,351347.4285714286
The Brattleboro Savings & Loan Association,80234,42,21399440.990000002,625069.34,509510.4997619048
The Brenham National Bank,69085,36,12187755.0,463414.59,338548.75
The Buckholts State Bank,69123,2,682825.12,23778.92,341412.56
The Callaway Bank,40487,44,16711600.0,638596.0,379809.0909090909
The Campbell & Fetter Bank,23792,22,8560124.0,320355.14,389096.54545454547
The Canandaigua National Bank and Trust Company,47007,747,336747340.91,11223757.74,450799.65315930394
The Cape Cod Five Cents Savings Bank,32844,510,196305277.56,7011511.0,384912.30894117645
The Capon Valley Bank,75428,9,5919558.0,190052.08,657728.6666666666
The Cecilian Bank,26872,94,45964200.0,1419866.0,488980.8510638298
The Central Trust Bank,40659,1790,886046086.17,28104275.26,494997.81350279326
The Chesapeake Bank & Trust Company,111223,17,4348386.13,198858.68,255787.4194117647
The Citizens Bank,2010,3,2290636.0,74831.8,763545.3333333334
The Citizens Bank,4115,92,39925761.85,1306950.16,433975.6722826087
The Citizens Bank,27103,5,1094703.13,54735.15,218940.626
The Citizens Bank,27621,16,4829621.16,197532.3,301851.3225
The Citizens Bank,45784,122,65562711.24,2076708.0,537399.2724590164
The Citizens Bank,66268,116,38573897.96,1471254.71,332533.6031034483
The Citizens Bank Company,53292,34,18960934.71,547070.96,557674.5502941177
The Citizens Bank Edina,40439,2,429750.0,21487.5,214875.0
The Citizens Bank of Clovis,45756,21,10864287.14,374934.58,517347.0066666667
The Citizens Bank of Edmond,58917,47,17992993.55,609253.4,382829.65
The Citizens Bank of Georgia,120988,78,24975260.0,1001704.98,320195.641025641
The Citizens Bank of Philadelphia,39670,98,43700211.55,1448413.53,445920.52602040814
The Citizens Bank of Swainsboro,19708,18,6945400.0,203474.0,385855.55555555556
The Citizens Bank of Weston,75433,28,8566231.55,355877.51,305936.8410714286
The Citizens Bank of Winfield,3375,1,225000.0,11250.0,225000.0
The Citizens National Bank,25931,11,6556706.0,165584.4,596064.1818181818
The Citizens National Bank of Bluffton,53296,211,99428832.0,3342419.16,471226.69194312795
The Citizens National Bank of Hillsboro,70130,16,9371806.9,239919.85,585737.93125
The Citizens National Bank of Lebanon,27183,5,2044225.58,66593.47,408845.11600000004
The Citizens National Bank of Meridian,39604,237,101164788.09,3558195.39,426855.6459493671
The Citizens National Bank of Park Rapids,38734,29,17402902.0,426323.1,600100.0689655172
The Citizens National Bank of Quitman,19640,6,4769993.05,161847.44,794998.8416666667
The Citizens National Bank of Somerset,27925,43,17970600.0,586544.0,417920.93023255817
The Citizens National Bank of Woodsfield,58649,9,2084656.65,89738.16,231628.51666666666
The Citizens State Bank,25937,19,6213882.1,255662.5,327046.42631578946
The Citizens State Bank,26156,13,4921031.0,179772.53,378540.8461538461
The Citizens State Bank,26191,33,17077590.79,578990.12,517502.75121212116
The Citizens State Bank and Trust Company,26768,6,2362723.0,86808.27,393787.1666666667
The Citizens State Bank at Mohall,52907,2,349880.0,17494.0,174940.0
The Citizens State Bank of Cheney,25755,3,1242678.92,40874.95,414226.30666666664
The Citizens State Bank of Ouray,15674,63,35135748.38,1125517.25,557710.2917460318
"The City National Bank and Trust Company of Lawton, Oklahoma",59035,23,7817260.24,302136.43,339880.88
The City National Bank of Metropolis,21960,61,35951498.7,1033120.86,589368.8311475411
The City National Bank of Sulphur Springs,71935,63,20512830.2,805106.59,325600.4793650794
The City National Bank of Taylor,71960,15,4397172.78,186052.64,293144.852
The City State Bank,25875,1,412812.0,12384.36,412812.0
The Claxton Bank,19227,17,5154186.44,203137.25,303187.43764705886
The Clay City Banking Co.,21137,2,582620.0,29131.0,291310.0
The Cleveland State Bank,39186,32,10153012.06,419011.06,317281.626875
The Clinton National Bank,24778,54,19512972.95,750380.88,361351.3509259259
The Colorado Bank and Trust Company of La Junta,15583,20,9950232.31,300458.22,497511.6155
The Commercial Bank,19344,89,43517791.0,1511905.55,488963.9438202247
The Commercial Bank,39197,16,6820682.75,271631.71,426292.671875
