,ServicingLenderName,ServicingLenderLocationID,LoanNumber,CurrentApprovalAmount,EstimatedLenderProfit,AverageLoanAmount
1606,"First Federal Community Bank, National Association",83048,109,39792521.23,1512057.02,365069.00211009174
2945,Opportunity Bank of Montana,86348,81,39725313.34,1132524.36,490435.9671604939
3870,The Enterprise Center Capital Corporation,433060,55,39651837.51,1061014.26,720942.5001818181
4156,The Pueblo Bank and Trust Company,15691,88,39571721.22,1305517.66,449678.6502272727
3155,Points West Community Bank,15575,104,39570787.87,1309254.15,380488.34490384615
534,Bluestone Bank,32668,99,39473013.24,1415483.02,398717.3054545455
2935,One Bank of Tennessee,68685,94,39462159.87,1395812.79,419810.2113829787
1658,First Metro Bank,112619,81,39346538.88,1388436.01,485759.7392592593
889,Clear Lake Bank & Trust Company,24776,70,39294157.67,1169824.93,561345.1095714286
1634,First General Bank,436341,122,39261100.0,1596563.0,321812.2950819672
2485,Legends Bank,123233,88,39217420.7,1301001.3,445652.5079545455
3916,"The First National Bank and Trust Co, Chickasha, Oklahoma",58841,87,39200320.93,1259416.98,450578.40149425284
2472,Ledyard National Bank,117112,88,39141327.79,1328739.1,444787.81579545455
1024,Community National Bank,26432,78,39127781.16,1276720.23,501638.22
3330,Royal Business Bank,460489,107,39112000.0,1451322.0,365532.7102803738
4326,US Eagle FCU,101108,101,39111948.67,1509839.24,387247.0165346535
